1,2000,0.0000625, 1.09 
1,10000,0.0000025, 1.25 
1,50000,0.0000001, 1.10 
2,2000,0.0000625, 2.21 
2,10000,0.0000025, 2.12 
2,50000,0.0000001, 2.10 
3,2000,0.0000625, 2.65 
3,10000,0.0000025, 2.65 
3,50000,0.0000001, 3.07 
4,2000,0.0000625, 1.03 
4,10000,0.0000025, 3.19 
4,50000,0.0000001, 3.79 
5,2000,0.0000625, 1.02 
5,10000,0.0000025, 3.02 
5,50000,0.0000001, 4.34 
6,2000,0.0000625, 0.17 
6,10000,0.0000025, 3.24 
6,50000,0.0000001, 5.15 
7,2000,0.0000625, 1.14 
7,10000,0.0000025, 3.42 
7,50000,0.0000001, 5.89 
8,2000,0.0000625, 0.02 
8,10000,0.0000025, 3.75 
8,50000,0.0000001, 0.43 
9,2000,0.0000625, 1.02 
9,10000,0.0000025, 0.65 
9,50000,0.0000001, 7.16 
10,2000,0.0000625, 0.02 
10,10000,0.0000025, 4.06 
10,50000,0.0000001, 7.78 
11,2000,0.0000625, 0.04 
11,10000,0.0000025, 1.93 
11,50000,0.0000001, 8.26 
12,2000,0.0000625, 0.63 
12,10000,0.0000025, 2.75 
12,50000,0.0000001, 9.11 
